[2023-01-02 14:33:25] INFO: CheckM v1.2.2
[2023-01-02 14:33:25] INFO: checkm qa -o 3 xanthomonas.ms ncbi-genomes-2023-01-01.checkm
[2023-01-02 14:33:25] INFO: CheckM data: /home/djs217/checkm
[2023-01-02 14:33:25] INFO: [CheckM - qa] Tabulating genome statistics.
[2023-01-02 14:33:25] INFO: Calculating AAI between multi-copy marker genes.
[2023-01-02 14:33:25] INFO: Reading HMM info from file.
[2023-01-02 14:33:26] INFO: Parsing HMM hits to marker genes:
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                 Node Id      Marker lineage     # genomes   # markers   # marker sets   0     1     2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  GCA_019192985.1_ASM1919298v1_genomic      5          Xanthomonas           16         1163          401        3    1159   1    0   0   0       99.94            0.03               0.00          
  GCA_019192985.1_ASM1919298v1_genomic      4        Xanthomonadaceae        58         540           311        0    539    1    0   0   0       100.00           0.32               0.00          
  GCA_019192985.1_ASM1919298v1_genomic      3        Xanthomonadales         63         499           264        0    498    1    0   0   0       100.00           0.38               0.00          
  GCA_019192985.1_ASM1919298v1_genomic      2      Gammaproteobacteria      1167        280           178        0    280    0    0   0   0       100.00           0.00               0.00          
  GCA_019192985.1_ASM1919298v1_genomic      1         Proteobacteria        2343        182           119        0    182    0    0   0   0       100.00           0.00               0.00          
  GCA_019192985.1_ASM1919298v1_genomic      0            Bacteria           5449        104            58        0    104    0    0   0   0       100.00           0.00               0.00          
  GCA_019193005.1_ASM1919300v1_genomic      5          Xanthomonas           16         1163          401        3    1156   4    0   0   0       99.94            0.61               0.00          
  GCA_019193005.1_ASM1919300v1_genomic      4        Xanthomonadaceae        58         540           311        0    539    1    0   0   0       100.00           0.32               0.00          
  GCA_019193005.1_ASM1919300v1_genomic      3        Xanthomonadales         63         499           264        0    498    1    0   0   0       100.00           0.38               0.00          
  GCA_019193005.1_ASM1919300v1_genomic      2      Gammaproteobacteria      1167        280           178        0    280    0    0   0   0       100.00           0.00               0.00          
  GCA_019193005.1_ASM1919300v1_genomic      1         Proteobacteria        2343        182           119        0    182    0    0   0   0       100.00           0.00               0.00          
  GCA_019193005.1_ASM1919300v1_genomic      0            Bacteria           5449        104            58        0    104    0    0   0   0       100.00           0.00               0.00          
  GCA_019201065.1_ASM1920106v1_genomic      5          Xanthomonas           16         1163          401        3    1155   5    0   0   0       99.94            0.43               0.00          
  GCA_019201065.1_ASM1920106v1_genomic      4        Xanthomonadaceae        58         540           311        0    539    1    0   0   0       100.00           0.11               0.00          
  GCA_019201065.1_ASM1920106v1_genomic      3        Xanthomonadales         63         499           264        0    498    1    0   0   0       100.00           0.13               0.00          
  GCA_019201065.1_ASM1920106v1_genomic      2      Gammaproteobacteria      1167        280           178        0    280    0    0   0   0       100.00           0.00               0.00          
  GCA_019201065.1_ASM1920106v1_genomic      1         Proteobacteria        2343        182           119        0    182    0    0   0   0       100.00           0.00               0.00          
  GCA_019201065.1_ASM1920106v1_genomic      0            Bacteria           5449        104            58        0    104    0    0   0   0       100.00           0.00               0.00          
  GCA_019201075.1_ASM1920107v1_genomic      5          Xanthomonas           16         1163          401        4    1156   3    0   0   0       99.89            0.42               0.00          
  GCA_019201075.1_ASM1920107v1_genomic      4        Xanthomonadaceae        58         540           311        0    540    0    0   0   0       100.00           0.00               0.00          
  GCA_019201075.1_ASM1920107v1_genomic      3        Xanthomonadales         63         499           264        0    499    0    0   0   0       100.00           0.00               0.00          
  GCA_019201075.1_ASM1920107v1_genomic      2      Gammaproteobacteria      1167        280           178        0    280    0    0   0   0       100.00           0.00               0.00          
  GCA_019201075.1_ASM1920107v1_genomic      1         Proteobacteria        2343        182           119        0    182    0    0   0   0       100.00           0.00               0.00          
  GCA_019201075.1_ASM1920107v1_genomic      0            Bacteria           5449        104            58        0    104    0    0   0   0       100.00           0.00               0.00          
  GCA_019201105.1_ASM1920110v1_genomic      5          Xanthomonas           16         1163          401        3    1158   2    0   0   0       99.94            0.07               0.00          
  GCA_019201105.1_ASM1920110v1_genomic      4        Xanthomonadaceae        58         540           311        0    539    1    0   0   0       100.00           0.32               0.00          
  GCA_019201105.1_ASM1920110v1_genomic      3        Xanthomonadales         63         499           264        0    498    1    0   0   0       100.00           0.38               0.00          
  GCA_019201105.1_ASM1920110v1_genomic      2      Gammaproteobacteria      1167        280           178        1    279    0    0   0   0       99.72            0.00               0.00          
  GCA_019201105.1_ASM1920110v1_genomic      1         Proteobacteria        2343        182           119        1    181    0    0   0   0       99.16            0.00               0.00          
