[2023-01-02 14:34:52] INFO: CheckM v1.2.2
[2023-01-02 14:34:52] INFO: checkm qa -o 6 xanthomonas.ms ncbi-genomes-2023-01-01.checkm
[2023-01-02 14:34:52] INFO: CheckM data: /home/djs217/checkm
[2023-01-02 14:34:52] INFO: [CheckM - qa] Tabulating genome statistics.
[2023-01-02 14:34:52] INFO: Calculating AAI between multi-copy marker genes.
[2023-01-02 14:34:52] INFO: Reading HMM info from file.
[2023-01-02 14:34:54] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
GCA_019192985.1_ASM1919298v1_genomic	PF00308.13	JAHTMO010000001.1_344,JAHTMO010000013.1_22
GCA_019193005.1_ASM1919300v1_genomic	TIGR01439	JAHTMP010000001.1_794,JAHTMP010000004.1_296
GCA_019193005.1_ASM1919300v1_genomic	PF00308.13	JAHTMP010000007.1_139,JAHTMP010000017.1_5
GCA_019193005.1_ASM1919300v1_genomic	PF12002.3	JAHTMP010000001.1_926,JAHTMP010000004.1_274
GCA_019193005.1_ASM1919300v1_genomic	PF03176.10	JAHTMP010000001.1_1053,JAHTMP010000008.1_29
GCA_019201065.1_ASM1920106v1_genomic	PF00308.13	JAHTUQ010000002.1_45,JAHTUQ010000014.1_88
GCA_019201065.1_ASM1920106v1_genomic	PF13857.1	JAHTUQ010000001.1_69,JAHTUQ010000003.1_67
GCA_019201065.1_ASM1920106v1_genomic	PF01807.15	JAHTUQ010000016.1_16,JAHTUQ010000021.1_5
GCA_019201065.1_ASM1920106v1_genomic	PF08275.6	JAHTUQ010000016.1_16,JAHTUQ010000021.1_5
GCA_019201065.1_ASM1920106v1_genomic	PF13242.1	JAHTUQ010000005.1_82,JAHTUQ010000022.1_13
GCA_019201075.1_ASM1920107v1_genomic	PF01580.13	JAHTUK010000016.1_61,JAHTUK010000059.1_1
GCA_019201075.1_ASM1920107v1_genomic	PF00704.23	JAHTUK010000015.1_38,JAHTUK010000015.1_4
GCA_019201075.1_ASM1920107v1_genomic	PF05962.6	JAHTUK010000015.1_113,JAHTUK010000027.1_1
GCA_019201105.1_ASM1920110v1_genomic	PF00574.18	JAHTUV010000022.1_14,JAHTUV010000022.1_42
GCA_019201105.1_ASM1920110v1_genomic	PF00308.13	JAHTUV010000001.1_150,JAHTUV010000018.1_41
GCA_019201115.1_ASM1920111v1_genomic	PF01343.13	JAHTUN010000008.1_9,JAHTUN010000015.1_71
GCA_019201145.1_ASM1920114v1_genomic	PF00308.13	JAHTUU010000004.1_395,JAHTUU010000006.1_128
GCA_019201145.1_ASM1920114v1_genomic	PF08275.6	JAHTUU010000009.1_16,JAHTUU010000011.1_39
GCA_019201145.1_ASM1920114v1_genomic	PF01807.15	JAHTUU010000009.1_16,JAHTUU010000011.1_39
GCA_019201145.1_ASM1920114v1_genomic	PF10410.4	JAHTUU010000009.1_16,JAHTUU010000011.1_39
GCA_019201185.1_ASM1920118v1_genomic	PF00308.13	JAHTUO010000007.1_47,JAHTUO010000009.1_65
GCA_019201205.1_ASM1920120v1_genomic	PF00574.18	JAHTUR010000004.1_126,JAHTUR010000007.1_46,JAHTUR010000007.1_92
GCA_019201205.1_ASM1920120v1_genomic	PF00308.13	JAHTUR010000003.1_257,JAHTUR010000012.1_126
GCA_019201205.1_ASM1920120v1_genomic	PF01807.15	JAHTUR010000004.1_133,JAHTUR010000016.1_15
GCA_019201225.1_ASM1920122v1_genomic	TIGR01439	JAHTUP010000015.1_68,JAHTUP010000021.1_20
GCA_019201225.1_ASM1920122v1_genomic	PF01343.13	JAHTUP010000001.1_71,JAHTUP010000002.1_403
GCA_019201225.1_ASM1920122v1_genomic	PF00308.13	JAHTUP010000002.1_28,JAHTUP010000009.1_123
GCA_019201245.1_ASM1920124v1_genomic	PF00308.13	JAHTUY010000001.1_255,JAHTUY010000013.1_62
GCA_019201265.1_ASM1920126v1_genomic	PF00308.13	JAHTUS010000001.1_825,JAHTUS010000012.1_47
GCA_019201285.1_ASM1920128v1_genomic	PF00308.13	JAHTUW010000003.1_262,JAHTUW010000005.1_333
GCA_019201305.1_ASM1920130v1_genomic	PF00308.13	JAHTVF010000002.1_98,JAHTVF010000005.1_306
GCA_019201305.1_ASM1920130v1_genomic	PF13835.1	JAHTVF010000002.1_10,JAHTVF010000021.1_4
GCA_019201305.1_ASM1920130v1_genomic	PF08275.6	JAHTVF010000003.1_549,JAHTVF010000013.1_23
GCA_019201305.1_ASM1920130v1_genomic	PF01807.15	JAHTVF010000003.1_549,JAHTVF010000013.1_23
GCA_019201305.1_ASM1920130v1_genomic	PF10410.4	JAHTVF010000003.1_549,JAHTVF010000013.1_23
